"Notes"	"Standard Residence States"	"Standard Residence States Code"	"Downs Syndrome"	"Downs Syndrome Code"	Fetal Deaths	Percent of Total Deaths
	"Alabama"	"01"	"Yes"	"1"	34	0.01
	"Alabama"	"01"	"No"	"2"	4735	1.30
	"Alabama"	"01"	"Not classifiable"	"9"	181	0.05
	"Alabama"	"01"	"Not Available"	"110"	3198	0.88
	"Alaska"	"02"	"No"	"2"	382	0.10
	"Alaska"	"02"	"Not classifiable"	"9"	120	0.03
	"Alaska"	"02"	"Not Available"	"110"	374	0.10
	"Arizona"	"04"	"Yes"	"1"	44	0.01
	"Arizona"	"04"	"No"	"2"	4552	1.25
	"Arizona"	"04"	"Not classifiable"	"9"	197	0.05
	"Arizona"	"04"	"Not Available"	"110"	2942	0.81
	"Arkansas"	"05"	"Yes"	"1"	23	0.01
	"Arkansas"	"05"	"No"	"2"	2415	0.66
	"Arkansas"	"05"	"Not classifiable"	"9"	16	0.00
	"Arkansas"	"05"	"Not Available"	"110"	1489	0.41
	"California"	"06"	"Yes"	"1"	209	0.06
	"California"	"06"	"No"	"2"	23718	6.51
	"California"	"06"	"Not classifiable"	"9"	542	0.15
	"California"	"06"	"Not Available"	"110"	14460	3.97
	"Colorado"	"08"	"Yes"	"1"	48	0.01
	"Colorado"	"08"	"No"	"2"	2780	0.76
	"Colorado"	"08"	"Not classifiable"	"9"	369	0.10
	"Colorado"	"08"	"Not Available"	"110"	2171	0.60
	"Connecticut"	"09"	"Yes"	"1"	25	0.01
	"Connecticut"	"09"	"No"	"2"	1699	0.47
	"Connecticut"	"09"	"Not classifiable"	"9"	231	0.06
	"Connecticut"	"09"	"Not Available"	"110"	975	0.27
	"Delaware"	"10"	"No"	"2"	602	0.17
	"Delaware"	"10"	"Not classifiable"	"9"	18	0.00
	"Delaware"	"10"	"Not Available"	"110"	363	0.10
	"District of Columbia"	"11"	"No"	"2"	688	0.19
	"District of Columbia"	"11"	"Not classifiable"	"9"	66	0.02
	"District of Columbia"	"11"	"Not Available"	"110"	518	0.14
	"Florida"	"12"	"Yes"	"1"	208	0.06
	"Florida"	"12"	"No"	"2"	13585	3.73
	"Florida"	"12"	"Not classifiable"	"9"	580	0.16
	"Florida"	"12"	"Not Available"	"110"	9388	2.58
	"Georgia"	"13"	"Yes"	"1"	56	0.02
	"Georgia"	"13"	"No"	"2"	6239	1.71
	"Georgia"	"13"	"Not classifiable"	"9"	2646	0.73
	"Georgia"	"13"	"Not Reported"	"100"	1265	0.35
	"Georgia"	"13"	"Not Available"	"110"	6251	1.72
	"Hawaii"	"15"	"Not Reported"	"100"	1075	0.30
	"Hawaii"	"15"	"Not Available"	"110"	640	0.18
	"Idaho"	"16"	"Yes"	"1"	16	0.00
	"Idaho"	"16"	"No"	"2"	1054	0.29
	"Idaho"	"16"	"Not classifiable"	"9"	16	0.00
	"Idaho"	"16"	"Not Available"	"110"	695	0.19
	"Illinois"	"17"	"Yes"	"1"	81	0.02
	"Illinois"	"17"	"No"	"2"	7436	2.04
	"Illinois"	"17"	"Not classifiable"	"9"	1641	0.45
	"Illinois"	"17"	"Not Available"	"110"	5477	1.50
	"Indiana"	"18"	"Yes"	"1"	40	0.01
	"Indiana"	"18"	"No"	"2"	3917	1.08
