"Notes"	"Standard Residence States"	"Standard Residence States Code"	"Anencephalus"	"Anencephalus Code"	"Spina Bifida / Meningocele"	"Spina Bifida / Meningocele Code"	"Omphalocele / Gastroschisis"	"Omphalocele / Gastroschisis Code"	"Cleft Lip / Palate"	"Cleft Lip / Palate Code"	Fetal Deaths	Percent of Total Deaths
	"Alabama"	"01"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	47	0.01
	"Alabama"	"01"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	38	0.01
	"Alabama"	"01"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	18	0.00
	"Alabama"	"01"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	4653	1.28
	"Alabama"	"01"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	181	0.05
	"Alabama"	"01"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	3198	0.88
	"Alaska"	"02"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	359	0.10
	"Alaska"	"02"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	120	0.03
	"Alaska"	"02"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	374	0.10
	"Arizona"	"04"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	49	0.01
	"Arizona"	"04"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	21	0.01
	"Arizona"	"04"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	19	0.01
	"Arizona"	"04"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	4494	1.23
	"Arizona"	"04"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	197	0.05
	"Arizona"	"04"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	2942	0.81
	"Arkansas"	"05"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	17	0.00
	"Arkansas"	"05"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	17	0.00
	"Arkansas"	"05"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	24	0.01
	"Arkansas"	"05"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	2370	0.65
	"Arkansas"	"05"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	16	0.00
	"Arkansas"	"05"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	1489	0.41
	"California"	"06"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	170	0.05
	"California"	"06"	"No"	"2"	"Yes"	"1"	"No"	"2"	"No"	"2"	28	0.01
	"California"	"06"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	60	0.02
	"California"	"06"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	149	0.04
	"California"	"06"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	23494	6.45
	"California"	"06"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	542	0.15
	"California"	"06"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	14460	3.97
	"Colorado"	"08"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	34	0.01
	"Colorado"	"08"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	29	0.01
	"Colorado"	"08"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	24	0.01
	"Colorado"	"08"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	2725	0.75
	"Colorado"	"08"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	369	0.10
	"Colorado"	"08"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	2171	0.60
	"Connecticut"	"09"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	11	0.00
	"Connecticut"	"09"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	16	0.00
	"Connecticut"	"09"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	13	0.00
	"Connecticut"	"09"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	1676	0.46
	"Connecticut"	"09"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	231	0.06
	"Connecticut"	"09"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	975	0.27
	"Delaware"	"10"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	587	0.16
	"Delaware"	"10"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	18	0.00
	"Delaware"	"10"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	363	0.10
	"District of Columbia"	"11"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	671	0.18
	"District of Columbia"	"11"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	66	0.02
	"District of Columbia"	"11"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	518	0.14
	"Florida"	"12"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	122	0.03
	"Florida"	"12"	"No"	"2"	"Yes"	"1"	"No"	"2"	"No"	"2"	32	0.01
	"Florida"	"12"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	52	0.01
	"Florida"	"12"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	88	0.02
	"Florida"	"12"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	13482	3.70
	"Florida"	"12"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	580	0.16
	"Florida"	"12"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	9388	2.58
	"Georgia"	"13"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	46	0.01
	"Georgia"	"13"	"No"	"2"	"Yes"	"1"	"No"	"2"	"No"	"2"	12	0.00
	"Georgia"	"13"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	17	0.00
	"Georgia"	"13"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	38	0.01
	"Georgia"	"13"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	6170	1.69
	"Georgia"	"13"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	2646	0.73
	"Georgia"	"13"	"Not Reported"	"100"	"Not Reported"	"100"	"Not Reported"	"100"	"Not Reported"	"100"	1265	0.35
	"Georgia"	"13"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	6251	1.72
	"Hawaii"	"15"	"Not Reported"	"100"	"Not Reported"	"100"	"Not Reported"	"100"	"Not Reported"	"100"	1075	0.30
	"Hawaii"	"15"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	640	0.18
	"Idaho"	"16"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	10	0.00
	"Idaho"	"16"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	1037	0.28
	"Idaho"	"16"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	16	0.00
	"Idaho"	"16"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	695	0.19
	"Illinois"	"17"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	91	0.02
	"Illinois"	"17"	"No"	"2"	"Yes"	"1"	"No"	"2"	"No"	"2"	27	0.01
	"Illinois"	"17"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	56	0.02
	"Illinois"	"17"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	78	0.02
	"Illinois"	"17"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	7244	1.99
	"Illinois"	"17"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	1641	0.45
	"Illinois"	"17"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	5477	1.50
	"Indiana"	"18"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	76	0.02
	"Indiana"	"18"	"No"	"2"	"Yes"	"1"	"No"	"2"	"No"	"2"	15	0.00
	"Indiana"	"18"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	25	0.01
	"Indiana"	"18"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	46	0.01
	"Indiana"	"18"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	3787	1.04
	"Indiana"	"18"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	513	0.14
	"Indiana"	"18"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	3078	0.84
	"Iowa"	"19"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	31	0.01
	"Iowa"	"19"	"No"	"2"	"Yes"	"1"	"No"	"2"	"No"	"2"	14	0.00
	"Iowa"	"19"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	20	0.01
	"Iowa"	"19"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	22	0.01
	"Iowa"	"19"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	1736	0.48
	"Iowa"	"19"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	35	0.01
	"Iowa"	"19"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	1096	0.30
	"Kansas"	"20"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	31	0.01
