"Notes"	"Infant Delivery Weight 14"	"Infant Delivery Weight 14 Code"	"Delivery Method"	"Delivery Method Code"	"LMP Gestational Age 10"	"LMP Gestational Age 10 Code"	"Plurality or Multiple Birth"	"Plurality or Multiple Birth Code"	"Standard Residence States"	"Standard Residence States Code"	Fetal Deaths	Percent of Total Deaths
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Alabama"	"01"	181	0.06
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Alaska"	"02"	10	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Arizona"	"04"	240	0.08
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Arkansas"	"05"	72	0.02
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"California"	"06"	539	0.17
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Colorado"	"08"	128	0.04
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Connecticut"	"09"	52	0.02
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"District of Columbia"	"11"	19	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Florida"	"12"	435	0.14
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Georgia"	"13"	526	0.17
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Idaho"	"16"	44	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Illinois"	"17"	413	0.13
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Indiana"	"18"	98	0.03
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Iowa"	"19"	85	0.03
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Kentucky"	"21"	161	0.05
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Louisiana"	"22"	124	0.04
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Maine"	"23"	10	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Maryland"	"24"	174	0.06
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Massachusetts"	"25"	104	0.03
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Michigan"	"26"	216	0.07
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Minnesota"	"27"	142	0.05
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Mississippi"	"28"	125	0.04
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Missouri"	"29"	172	0.06
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Nebraska"	"31"	41	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"Nevada"	"32"	62	0.02
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"New Hampshire"	"33"	14	0.00
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"New Jersey"	"34"	146	0.05
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"New Mexico"	"35"	17	0.01
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"New York"	"36"	434	0.14
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"North Carolina"	"37"	226	0.07
	"249 grams or less"	"01"	"Vaginal"	"1"	"20-23 weeks"	"03"	"Single"	"1"	"North Dakota"	"38"	24	0.01
