"Notes"	"Year"	"Year Code"	"Delivery Method"	"Delivery Method Code"	"Plurality or Multiple Birth"	"Plurality or Multiple Birth Code"	Fetal Deaths	Percent of Total Deaths
	"2005"	"2005"	"Vaginal"	"1"	"Single"	"1"	19176	5.26
	"2005"	"2005"	"Vaginal"	"1"	"Twin"	"2"	1497	0.41
	"2005"	"2005"	"Vaginal"	"1"	"Triplet"	"3"	93	0.03
	"2005"	"2005"	"Vaginal"	"1"	"Quadruplet "	"4"	9	0.00
	"2005"	"2005"	"Vaginal"	"1"	"Quintuplet or higher"	"5"	3	0.00
	"2005"	"2005"	"Cesarean"	"2"	"Single"	"1"	2746	0.75
	"2005"	"2005"	"Cesarean"	"2"	"Twin"	"2"	544	0.15
	"2005"	"2005"	"Cesarean"	"2"	"Triplet"	"3"	47	0.01
	"2005"	"2005"	"Cesarean"	"2"	"Quadruplet "	"4"	8	0.00
	"2005"	"2005"	"Cesarean"	"2"	"Quintuplet or higher"	"5"	5	0.00
	"2005"	"2005"	"Not Stated"	"9"	"Single"	"1"	1505	0.41
	"2005"	"2005"	"Not Stated"	"9"	"Twin"	"2"	128	0.04
	"2005"	"2005"	"Not Stated"	"9"	"Triplet"	"3"	21	0.01
	"2005"	"2005"	"Not Reported"	"100"	"Single"	"1"	105	0.03
	"2005"	"2005"	"Not Reported"	"100"	"Twin"	"2"	6	0.00
	"2005"	"2005"	"Not Reported"	"100"	"Quadruplet "	"4"	1	0.00
	"2006"	"2006"	"Vaginal"	"1"	"Single"	"1"	19190	5.27
	"2006"	"2006"	"Vaginal"	"1"	"Twin"	"2"	1450	0.40
	"2006"	"2006"	"Vaginal"	"1"	"Triplet"	"3"	95	0.03
	"2006"	"2006"	"Vaginal"	"1"	"Quadruplet "	"4"	7	0.00
	"2006"	"2006"	"Vaginal"	"1"	"Quintuplet or higher"	"5"	4	0.00
	"2006"	"2006"	"Cesarean"	"2"	"Single"	"1"	2764	0.76
	"2006"	"2006"	"Cesarean"	"2"	"Twin"	"2"	588	0.16
	"2006"	"2006"	"Cesarean"	"2"	"Triplet"	"3"	58	0.02
	"2006"	"2006"	"Cesarean"	"2"	"Quadruplet "	"4"	6	0.00
	"2006"	"2006"	"Cesarean"	"2"	"Quintuplet or higher"	"5"	4	0.00
	"2006"	"2006"	"Not Stated"	"9"	"Single"	"1"	1527	0.42
	"2006"	"2006"	"Not Stated"	"9"	"Twin"	"2"	144	0.04
	"2006"	"2006"	"Not Stated"	"9"	"Triplet"	"3"	5	0.00
	"2006"	"2006"	"Not Stated"	"9"	"Quadruplet "	"4"	1	0.00
	"2006"	"2006"	"Not Stated"	"9"	"Quintuplet or higher"	"5"	1	0.00
