"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Age of Mother 9"	"Age of Mother 9 Code"	Births
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	"Under 15 years"	"15"	69
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	"15-19 years"	"15-19"	4290
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	"20-24 years"	"20-24"	9858
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	"25-29 years"	"25-29"	9149
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	"30-34 years"	"30-34"	5608
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	"35-39 years"	"35-39"	2496
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	"40-44 years"	"40-44"	455
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	"45-49 years"	"45-49"	17
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"Under 15 years"	"15"	67
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"15-19 years"	"15-19"	4406
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"20-24 years"	"20-24"	10370
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"25-29 years"	"25-29"	9285
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"30-34 years"	"30-34"	5748
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"35-39 years"	"35-39"	2502
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"40-44 years"	"40-44"	464
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"45-49 years"	"45-49"	19
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	"Under 15 years"	"15"	73
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	"15-19 years"	"15-19"	4292
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	"20-24 years"	"20-24"	9742
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	"25-29 years"	"25-29"	9143
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	"30-34 years"	"30-34"	5603
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	"35-39 years"	"35-39"	2374
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	"40-44 years"	"40-44"	425
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	"45-49 years"	"45-49"	19
